t,x,y,z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz
0.030000,0.119615,0.231741,0.000000,-0.213770,0.000000,0.000000,-0.976884,1.987241,-1.274819,0.000000,0.000000,0.000000,149.937513
0.030500,0.121602,0.230463,0.000000,-0.140037,0.000000,0.000000,-0.990146,1.987032,-1.279373,0.000000,0.000000,0.000000,149.936472
0.031000,0.123589,0.229182,0.000000,-0.065519,0.000000,0.000000,-0.997851,1.986822,-1.283927,0.000000,0.000000,0.000000,149.935430
0.031500,0.125576,0.227896,0.000000,0.009366,0.000000,0.000000,-0.999956,1.986613,-1.288480,0.000000,0.000000,0.000000,149.934389
0.032000,0.127563,0.226605,0.000000,0.084198,0.000000,0.000000,-0.996449,1.986404,-1.293032,0.000000,0.000000,0.000000,149.933348
0.032500,0.129549,0.225310,0.000000,0.158557,0.000000,0.000000,-0.987350,1.986194,-1.297583,0.000000,0.000000,0.000000,149.932307
0.033000,0.131535,0.224010,0.000000,0.232026,0.000000,0.000000,-0.972710,1.985985,-1.302133,0.000000,0.000000,0.000000,149.931266
0.033500,0.133521,0.222705,0.000000,0.304192,0.000000,0.000000,-0.952611,1.985776,-1.306682,0.000000,0.000000,0.000000,149.930224
0.034000,0.135506,0.221396,0.000000,0.374651,0.000000,0.000000,-0.927166,1.985567,-1.311230,0.000000,0.000000,0.000000,149.929183
0.034500,0.137492,0.220083,0.000000,0.443006,0.000000,0.000000,-0.896518,1.985358,-1.315778,0.000000,0.000000,0.000000,149.928142
0.035000,0.139477,0.218765,0.000000,0.508876,0.000000,0.000000,-0.860840,1.985150,-1.320324,0.000000,0.000000,0.000000,149.927101
0.035500,0.141462,0.217442,0.000000,0.571889,0.000000,0.000000,-0.820331,1.984941,-1.324870,0.000000,0.000000,0.000000,149.926060
0.036000,0.143447,0.216115,0.000000,0.631692,0.000000,0.000000,-0.775219,1.984732,-1.329415,0.000000,0.000000,0.000000,149.925019
0.036500,0.145432,0.214783,0.000000,0.687950,0.000000,0.000000,-0.725758,1.984524,-1.333959,0.000000,0.000000,0.000000,149.923977
0.037000,0.147416,0.213447,0.000000,0.740348,0.000000,0.000000,-0.672224,1.984315,-1.338502,0.000000,0.000000,0.000000,149.922936
0.037500,0.149400,0.212106,0.000000,0.788591,0.000000,0.000000,-0.614918,1.984107,-1.343044,0.000000,0.000000,0.000000,149.921895
0.038000,0.151384,0.210761,0.000000,0.832408,0.000000,0.000000,-0.554163,1.983898,-1.347585,0.000000,0.000000,0.000000,149.920854
0.038500,0.153368,0.209411,0.000000,0.871555,0.000000,0.000000,-0.490298,1.983690,-1.352125,0.000000,0.000000,0.000000,149.919813
0.039000,0.155352,0.208057,0.000000,0.905811,0.000000,0.000000,-0.423683,1.983482,-1.356664,0.000000,0.000000,0.000000,149.918772
0.039500,0.157335,0.206698,0.000000,0.934984,0.000000,0.000000,-0.354690,1.983274,-1.361203,0.000000,0.000000,0.000000,149.917731
0.040000,0.159318,0.205334,0.000000,0.958911,0.000000,0.000000,-0.283709,1.983066,-1.365740,0.000000,0.000000,0.000000,149.916690
0.040500,0.161301,0.203966,0.000000,0.977457,0.000000,0.000000,-0.211135,1.982858,-1.370277,0.000000,0.000000,0.000000,149.915649
0.041000,0.163284,0.202594,0.000000,0.990519,0.000000,0.000000,-0.137378,1.982650,-1.374813,0.000000,0.000000,0.000000,149.914608
0.041500,0.165267,0.201217,0.000000,0.998023,0.000000,0.000000,-0.062851,1.982442,-1.379347,0.000000,0.000000,0.000000,149.913566
0.042000,0.167249,0.199835,0.000000,0.999928,0.000000,0.000000,0.012029,1.982234,-1.383881,0.000000,0.000000,0.000000,149.912525
0.042500,0.169231,0.198449,0.000000,0.996222,0.000000,0.000000,0.086841,1.982026,-1.388414,0.000000,0.000000,0.000000,149.911484
0.043000,0.171213,0.197058,0.000000,0.986927,0.000000,0.000000,0.161165,1.981819,-1.392946,0.000000,0.000000,0.000000,149.910443
