t,x,y,E
10200.0,-8.744283557809526e8,4.852655945776114e8,-3.337149989093891e34
10260.0,-8.818442153154262e8,4.7165536691947806e8,-3.337149989050757e34
10320.0,-8.890482432622828e8,4.579318416638163e8,-3.337149989008854e34
10380.0,-8.960387092468971e8,4.440983154665751e8,-3.3371499889681958e34
10440.0,-9.02813934193325e8,4.301581114013207e8,-3.3371499889287884e34
10500.0,-9.093722907274219e8,4.1611457816111094e8,-3.337149988890644e34
10560.0,-9.157122035675452e8,4.0197108925422305e8,-3.3371499888537697e34
10620.0,-9.2183214990275e8,3.877310421939275e8,-3.337149988818177e34
10680.0,-9.27730659758385e8,3.733978576825024e8,-3.3371499887838727e34
10740.0,-9.334063163490016e8,3.589749787896838e8,-3.3371499887508645e34
10800.0,-9.388577564184937e8,3.444658701257504e8,-3.337149988719163e34
10860.0,-9.440836705673829e8,3.298740170094393e8,-3.3371499886887714e34
10920.0,-9.49082803567174e8,3.1520292463089365e8,-3.3371499886597003e34
10980.0,-9.538539546617037e8,3.004561172098432e8,-3.337149988631956e34
11040.0,-9.583959778554118e8,2.85637137149219e8,-3.337149988605544e34
11100.0,-9.627077821884632e8,2.707495441844053e8,-3.3371499885804724e34
11160.0,-9.667883319986582e8,2.5579691452833414e8,-3.3371499885567457e34
11220.0,-9.70636647170065e8,2.4078284001262566e8,-3.3371499885343694e34
11280.0,-9.742518033683178e8,2.2571092722498226e8,-3.3371499885133516e34
11340.0,-9.776329322625219e8,2.1058479664304203e8,-3.3371499884936952e34
11400.0,-9.807792217337136e8,1.9540808176490018e8,-3.337149988475406e34
11460.0,-9.836899160698255e8,1.8018442823650673e8,-3.337149988458487e34
11520.0,-9.863643161471087e8,1.6491749297614977e8,-3.3371499884429436e34
11580.0,-9.888017795979701e8,1.496109432962345e8,-3.337149988428777e34
11640.0,-9.910017209651849e8,1.342684560225687e8,-3.337149988415995e34
11700.0,-9.929636118424451e8,1.1889371661136596e8,-3.3371499884045965e34
11760.0,-9.946869810012125e8,1.0349041826417825e8,-3.337149988394586e34
11820.0,-9.961714145038449e8,8.806226104097064e7,-3.3371499883859663e34
11880.0,-9.974165558029687e8,7.261295097155052e7,-3.3371499883787384e34
11940.0,-9.98422105827074e8,5.714619916556473e7,-3.337149988372906e34
12000.0,-9.991878230523111e8,4.166572092127793e7,-3.3371499883684667e34
12060.0,-9.99713523560472e8,2.61752348333463e7,-3.337149988365426e34
12120.0,-9.999990810831435e8,1.067846189980028e7,-3.3371499883637813e34
12180.0,-1.000044427032019e9,-4820875.371549161,-3.3371499883635336e34
12240.0,-9.998495505153652e8,-2.0319053857066497e7,-3.3371499883646856e34
12300.0,-9.994144983406363e8,-3.581235071139534e7,-3.337149988367234e34
12360.0,-9.987393750032369e8,-5.129704426149537e7,-3.3371499883711784e34
12420.0,-9.978243426614373e8,-6.676941490039804e7,-3.3371499883765206e34
12480.0,-9.96669621097444e8,-8.222574598046665e7,-3.337149988383254e34
12540.0,-9.952754876646386e8,-9.766232470594645e7,-3.337149988391385e34
12600.0,-9.936422772209941e8,-1.1307544302459072e8,-3.3371499884009035e34
12660.0,-9.917703820486872e8,-1.2846139851814887e8,-3.337149988411812e34
12720.0,-9.896602517599249e8,-1.4381649529150292e8,-3.3371499884241077e34
12780.0,-9.873123931890076e8,-1.591370448602392e8,-3.3371499884377855e34
12840.0,-9.847273702706555e8,-1.7441936703644204e8,-3.3371499884528426e34
12900.0,-9.819058039046258e8,-1.8965979081249726e8,-3.337149988469276e34
12960.0,-9.788483718066554e8,-2.0485465524269328e8,-3.3371499884870816e34
13020.0,-9.755558083457633e8,-2.2000031032240823e8,-3.3371499885062565e34
