t,x1,x2,p1,p2,Ptot,E,Erel
1.6400000000000001,2.5196472992798463e-2,1.0748035270072038,0.19420236414415518,-0.19420236414415518,0.0,5.00188572791197e-2,3.7714558239226805e-4
1.6500000000000001,2.7162329149426498e-2,1.0728376708505758,0.19896886718145157,-0.19896886718145157,0.0,5.001979430505385e-2,3.958861010752705e-4
1.6600000000000001,2.9173860647755682e-2,1.0708261393522465,0.20333743248438502,-0.20333743248438502,0.0,5.002067305572474e-2,4.134611144930571e-4
1.67,3.1227044424789355e-2,1.0687729555752128,0.2072993229223497,-0.2072993229223497,0.0,5.0021486504642096e-2,4.2973009284019627e-4
1.68,3.331777411297346e-2,1.0666822258870288,0.2108466147144697,-0.2108466147144697,0.0,5.002222814746832e-2,4.445629493646234e-4
1.69,3.5441868252931615e-2,1.0645581317470707,0.21397221327716076,-0.21397221327716076,0.0,5.0022892054027455e-2,4.578410805473879e-4
1.7,3.759507865638391e-2,1.0624049213436184,0.21666986741329752,-0.21666986741329752,0.0,5.0023472915722546e-2,4.69458314449194e-4
1.71,3.977309890252344e-2,1.0602269010974787,0.21893418181460766,-0.21893418181460766,0.0,5.00239660879835e-2,4.7932175966824893e-4
1.72,4.197157295085792e-2,1.0580284270491442,0.2207606278522886,-0.2207606278522886,0.0,5.002436762740494e-2,4.8735254809709113e-4
1.73,4.4186103853290686e-2,1.0558138961467116,0.22214555263426491,-0.22214555263426491,0.0,5.002467432327766e-2,4.934864655514728e-4
1.74,4.641226254801687e-2,1.0535877374519855,0.22308618631097277,-0.22308618631097277,0.0,5.002488372326148e-2,4.976744652278311e-4
1.75,4.8645596717647024e-2,1.0513544032823554,0.22358064761505866,-0.22358064761505866,0.0,5.002499415299407e-2,4.99883059879718e-4
1.76,5.0881639693841886e-2,1.0491183603061607,0.22362794762391444,-0.22362794762391444,0.0,5.002500472947933e-2,5.000945895848588e-4
1.77,5.3115919390649066e-2,1.0468840806093536,0.22322799173752242,-0.22322799173752242,0.0,5.002491536814767e-2,4.983073629516435e-4
1.78,5.5343967248674956e-2,1.0446560327513277,0.22238157986765533,-0.22238157986765533,0.0,5.002472678353229e-2,4.945356706441409e-4
1.79,5.7561327172203504e-2,1.0424386728277992,0.22109040483805295,-0.22109040483805295,0.0,5.0024440483555796e-2,4.888096711141978e-4
1.8,5.976356444138765e-2,1.0402364355586151,0.21935704899877448,-0.21935704899877448,0.0,5.002405875747279e-2,4.811751494540598e-4
1.81,6.194627458168901e-2,1.0380537254183138,0.21718497906149845,-0.21718497906149845,0.0,5.002358465756503e-2,4.7169315129894004e-4
1.82,6.4105092172827e-2,1.0358949078271757,0.21457853916609942,-0.21457853916609942,0.0,5.00230219747354e-2,4.6043949470622655e-4
1.83,6.623569957961935e-2,1.0337643004203834,0.2115429421923682,-0.2115429421923682,0.0,5.0022375208195795e-2,4.475041639141745e-4
1.84,6.833383558725245e-2,1.0316661644127503,0.20808425933425223,-0.20808425933425223,0.0,5.002164952949144e-2,4.3299058982704177e-4
1.85,7.039530392371104e-2,1.0296046960762917,0.20420940795746775,-0.20420940795746775,0.0,5.002085074114926e-2,4.170148229834518e-4
1.86,7.241598165232223e-2,1.0275840183476805,0.19992613776476834,-0.19992613776476834,0.0,5.001998523028082e-2,3.997046056146418e-4
1.87,7.439182741762877e-2,1.025608172582374,0.1952430152965394,-0.1952430152965394,0.0,5.0019059917511065e-2,3.8119835021957417e-4
1.8800000000000001,7.631888952810005e-2,1.0236811104719028,0.19016940679771738,-0.19016940679771738,0.0,5.001808220164092e-2,3.61644032816632e-4
1.8900000000000001,7.819331385951513e-2,1.0218066861404878,0.18471545948529994,-0.18471545948529994,0.0,5.00170599004864e-2,3.41198009726345e-4
1.9000000000000001,8.001135156321118e-2,1.0199886484367917,0.1788920812539119,-0.1788920812539119,0.0,5.001600118836763e-2,3.200237673509071e-4
1.9100000000000001,8.176936656378082e-2,1.018230633436222,0.17271091886001605,-0.17271091886001605,0.0,5.001491453074671e-2,2.9829061493249993e-4
1.92,8.34638428312229e-2,1.01653615716878,0.16618433462840015,-0.16618433462840015,0.0,5.001380861653783e-2,2.761723307548309e-4
1.93,8.509139141300254e-2,1.0149086085870005,0.15932538172752747,-0.15932538172752747,0.0,5.0012692288631144e-2,2.538457726211636e-4
