t,x,y,E
2.330,32.951176,6.322422,200.000000
2.340,33.092597,6.234779,200.000000
2.350,33.234019,6.146156,200.000000
2.360,33.375440,6.056552,200.000000
2.370,33.516861,5.965967,200.000000
2.380,33.658283,5.874401,200.000000
2.390,33.799704,5.781854,200.000000
2.400,33.941125,5.688325,200.000000
2.410,34.082547,5.593816,200.000000
2.420,34.223968,5.498326,200.000000
2.430,34.365390,5.401855,200.000000
2.440,34.506811,5.304403,200.000000
2.450,34.648232,5.205970,200.000000
2.460,34.789654,5.106556,200.000000
2.470,34.931075,5.006160,200.000000
2.480,35.072496,4.904784,200.000000
2.490,35.213918,4.802427,200.000000
2.500,35.355339,4.699089,200.000000
2.510,35.496760,4.594770,200.000000
2.520,35.638182,4.489470,200.000000
2.530,35.779603,4.383189,200.000000
2.540,35.921024,4.275926,200.000000
2.550,36.062446,4.167683,200.000000
2.560,36.203867,4.058459,200.000000
2.570,36.345289,3.948254,200.000000
2.580,36.486710,3.837068,200.000000
2.590,36.628131,3.724901,200.000000
2.600,36.769553,3.611753,200.000000
2.610,36.910974,3.497623,200.000000
2.620,37.052395,3.382513,200.000000
2.630,37.193817,3.266422,200.000000
2.640,37.335238,3.149350,200.000000
2.650,37.476659,3.031297,200.000000
2.660,37.618081,2.912263,200.000000
2.670,37.759502,2.792248,200.000000
2.680,37.900923,2.671251,200.000000
2.690,38.042345,2.549274,200.000000
2.700,38.183766,2.426316,200.000000
2.710,38.325188,2.302377,200.000000
2.720,38.466609,2.177457,200.000000
2.730,38.608030,2.051556,200.000000
2.740,38.749452,1.924674,200.000000
2.750,38.890873,1.796810,200.000000
2.760,39.032294,1.667966,200.000000
2.770,39.173716,1.538141,200.000000
2.780,39.315137,1.407335,200.000000
2.790,39.456558,1.275548,200.000000
2.800,39.597980,1.142780,200.000000
2.810,39.739401,1.009031,200.000000
2.820,39.880822,0.874300,200.000000
2.830,40.022244,0.738589,200.000000
2.840,40.163665,0.601897,200.000000
2.850,40.305087,0.464224,200.000000
2.860,40.446508,0.325570,200.000000
2.870,40.587929,0.185935,200.000000
2.880,40.729351,0.045319,200.000000
