time,posX,posY,posZ,oriW,oriX,oriY,oriZ,velX,velY,velZ,angX,angY,angZ
0.060000,0.000000,0.082048,0.000000,0.071049,0.997473,0.000000,0.000000,0.000000,-0.588600,0.000000,50.000000,0.000000,0.000000
0.061000,0.000000,0.081449,0.000000,0.046098,0.998937,0.000000,0.000000,0.000000,-0.598410,0.000000,50.000000,0.000000,0.000000
0.062000,0.000000,0.080841,0.000000,0.021118,0.999777,0.000000,0.000000,0.000000,-0.608220,0.000000,50.000000,0.000000,0.000000
0.063000,0.000000,0.080223,0.000000,-0.003876,0.999992,0.000000,0.000000,0.000000,-0.618030,0.000000,50.000000,0.000000,0.000000
0.064000,0.000000,0.079595,0.000000,-0.028866,0.999583,0.000000,0.000000,0.000000,-0.627840,0.000000,50.000000,0.000000,0.000000
0.065000,0.000000,0.078958,0.000000,-0.053839,0.998550,0.000000,0.000000,0.000000,-0.637650,0.000000,50.000000,0.000000,0.000000
0.066000,0.000000,0.078310,0.000000,-0.078778,0.996892,0.000000,0.000000,0.000000,-0.647460,0.000000,50.000000,0.000000,0.000000
0.067000,0.000000,0.077653,0.000000,-0.103668,0.994612,0.000000,0.000000,0.000000,-0.657270,0.000000,50.000000,0.000000,0.000000
0.068000,0.000000,0.076986,0.000000,-0.128493,0.991710,0.000000,0.000000,0.000000,-0.667080,0.000000,50.000000,0.000000,0.000000
0.069000,0.000000,0.076309,0.000000,-0.153238,0.988189,0.000000,0.000000,0.000000,-0.676890,0.000000,50.000000,0.000000,0.000000
0.070000,0.000000,0.075622,0.000000,-0.177887,0.984051,0.000000,0.000000,0.000000,-0.686700,0.000000,50.000000,0.000000,0.000000
0.071000,0.000000,0.074926,0.000000,-0.202425,0.979298,0.000000,0.000000,0.000000,-0.696510,0.000000,50.000000,0.000000,0.000000
0.072000,0.000000,0.074219,0.000000,-0.226837,0.973933,0.000000,0.000000,0.000000,-0.706320,0.000000,50.000000,0.000000,0.000000
0.073000,0.000000,0.073503,0.000000,-0.251107,0.967959,0.000000,0.000000,0.000000,-0.716130,0.000000,50.000000,0.000000,0.000000
0.074000,0.000000,0.072777,0.000000,-0.275220,0.961381,0.000000,0.000000,0.000000,-0.725940,0.000000,50.000000,0.000000,0.000000
0.075000,0.000000,0.072042,0.000000,-0.299161,0.954203,0.000000,0.000000,0.000000,-0.735750,0.000000,50.000000,0.000000,0.000000
0.076000,0.000000,0.071296,0.000000,-0.322915,0.946428,0.000000,0.000000,0.000000,-0.745560,0.000000,50.000000,0.000000,0.000000
0.077000,0.000000,0.070541,0.000000,-0.346468,0.938062,0.000000,0.000000,0.000000,-0.755370,0.000000,50.000000,0.000000,0.000000
0.078000,0.000000,0.069775,0.000000,-0.369804,0.929110,0.000000,0.000000,0.000000,-0.765180,0.000000,50.000000,0.000000,0.000000
0.079000,0.000000,0.069000,0.000000,-0.392909,0.919578,0.000000,0.000000,0.000000,-0.774990,0.000000,50.000000,0.000000,0.000000
0.080000,0.000000,0.068216,0.000000,-0.415768,0.909471,0.000000,0.000000,0.000000,-0.784800,0.000000,50.000000,0.000000,0.000000
0.081000,0.000000,0.067421,0.000000,-0.438368,0.898796,0.000000,0.000000,0.000000,-0.794610,0.000000,50.000000,0.000000,0.000000
0.082000,0.000000,0.066617,0.000000,-0.460694,0.887559,0.000000,0.000000,0.000000,-0.804420,0.000000,50.000000,0.000000,0.000000
0.083000,0.000000,0.065802,0.000000,-0.482732,0.875768,0.000000,0.000000,0.000000,-0.814230,0.000000,50.000000,0.000000,0.000000
0.084000,0.000000,0.064978,0.000000,-0.504469,0.863430,0.000000,0.000000,0.000000,-0.824040,0.000000,50.000000,0.000000,0.000000
0.085000,0.000000,0.064144,0.000000,-0.525890,0.850553,0.000000,0.000000,0.000000,-0.833850,0.000000,50.000000,0.000000,0.000000
0.086000,0.000000,0.063301,0.000000,-0.546983,0.837144,0.000000,0.000000,0.000000,-0.843660,0.000000,50.000000,0.000000,0.000000
0.087000,0.000000,0.062447,0.000000,-0.567734,0.823212,0.000000,0.000000,0.000000,-0.853470,0.000000,50.000000,0.000000,0.000000
0.088000,0.000000,0.061584,0.000000,-0.588131,0.808766,0.000000,0.000000,0.000000,-0.863280,0.000000,50.000000,0.000000,0.000000
0.089000,0.000000,0.060711,0.000000,-0.608160,0.793815,0.000000,0.000000,0.000000,-0.873090,0.000000,50.000000,0.000000,0.000000
0.090000,0.000000,0.059828,0.000000,-0.627809,0.778367,0.000000,0.000000,0.000000,-0.882900,0.000000,50.000000,0.000000,0.000000
0.091000,0.000000,0.058935,0.000000,-0.647066,0.762434,0.000000,0.000000,0.000000,-0.892710,0.000000,50.000000,0.000000,0.000000
0.092000,0.000000,0.058033,0.000000,-0.665919,0.746024,0.000000,0.000000,0.000000,-0.902520,0.000000,50.000000,0.000000,0.000000
0.093000,0.000000,0.057120,0.000000,-0.684356,0.729148,0.000000,0.000000,0.000000,-0.912330,0.000000,50.000000,0.000000,0.000000
0.094000,0.000000,0.056198,0.000000,-0.702365,0.711817,0.000000,0.000000,0.000000,-0.922140,0.000000,50.000000,0.000000,0.000000
0.095000,0.000000,0.055266,0.000000,-0.719935,0.694041,0.000000,0.000000,0.000000,-0.931950,0.000000,50.000000,0.000000,0.000000
0.096000,0.000000,0.054325,0.000000,-0.737056,0.675832,0.000000,0.000000,0.000000,-0.941760,0.000000,50.000000,0.000000,0.000000
0.097000,0.000000,0.053373,0.000000,-0.753716,0.657200,0.000000,0.000000,0.000000,-0.951570,0.000000,50.000000,0.000000,0.000000
0.098000,0.000000,0.052412,0.000000,-0.769906,0.638158,0.000000,0.000000,0.000000,-0.961380,0.000000,50.000000,0.000000,0.000000
0.099000,0.000000,0.051441,0.000000,-0.785614,0.618717,0.000000,0.000000,0.000000,-0.971190,0.000000,50.000000,0.000000,0.000000
0.100000,0.000000,0.050460,0.000000,-0.800832,0.598889,0.000000,0.000000,0.000000,-0.981000,0.000000,50.000000,0.000000,0.000000
0.101000,0.000000,0.049469,0.000000,-0.815549,0.578688,0.000000,0.000000,0.000000,-0.990810,0.000000,50.000000,0.000000,0.000000
0.102000,0.000000,0.048468,0.000000,-0.829757,0.558124,0.000000,0.000000,0.000000,-1.000620,0.000000,50.000000,0.000000,0.000000
0.103000,0.000000,0.047458,0.000000,-0.843447,0.537213,0.000000,0.000000,0.000000,-1.010430,0.000000,50.000000,0.000000,0.000000
0.104000,0.000000,0.046437,0.000000,-0.856610,0.515965,0.000000,0.000000,0.000000,-1.020240,0.000000,50.000000,0.000000,0.000000
0.105000,0.000000,0.045407,0.000000,-0.869237,0.494396,0.000000,0.000000,0.000000,-1.030050,0.000000,50.000000,0.000000,0.000000
0.106000,0.000000,0.044367,0.000000,-0.881322,0.472517,0.000000,0.000000,0.000000,-1.039860,0.000000,50.000000,0.000000,0.000000
0.107000,0.000000,0.043318,0.000000,-0.892856,0.450343,0.000000,0.000000,0.000000,-1.049670,0.000000,50.000000,0.000000,0.000000
0.108000,0.000000,0.042258,0.000000,-0.903832,0.427888,0.000000,0.000000,0.000000,-1.059480,0.000000,50.000000,0.000000,0.000000
0.109000,0.000000,0.041189,0.000000,-0.914243,0.405166,0.000000,0.000000,0.000000,-1.069290,0.000000,50.000000,0.000000,0.000000
0.110000,0.000000,0.040110,0.000000,-0.924084,0.382190,0.000000,0.000000,0.000000,-1.079100,0.000000,50.000000,0.000000,0.000000
0.111000,0.000000,0.039021,0.000000,-0.933347,0.358976,0.000000,0.000000,0.000000,-1.088910,0.000000,50.000000,0.000000,0.000000
0.112000,0.000000,0.037922,0.000000,-0.942027,0.335538,0.000000,0.000000,0.000000,-1.098720,0.000000,50.000000,0.000000,0.000000
0.113000,0.000000,0.036814,0.000000,-0.950118,0.311889,0.000000,0.000000,0.000000,-1.108530,0.000000,50.000000,0.000000,0.000000
0.114000,0.000000,0.035695,0.000000,-0.957616,0.288046,0.000000,0.000000,0.000000,-1.118340,0.000000,50.000000,0.000000,0.000000
0.115000,0.000000,0.034567,0.000000,-0.964516,0.264024,0.000000,0.000000,0.000000,-1.128150,0.000000,50.000000,0.000000,0.000000
0.116000,0.000000,0.033429,0.000000,-0.970813,0.239836,0.000000,0.000000,0.000000,-1.137960,0.000000,50.000000,0.000000,0.000000
0.117000,0.000000,0.032282,0.000000,-0.976504,0.215498,0.000000,0.000000,0.000000,-1.147770,0.000000,50.000000,0.000000,0.000000
0.118000,0.000000,0.031124,0.000000,-0.981585,0.191026,0.000000,0.000000,0.000000,-1.157580,0.000000,50.000000,0.000000,0.000000
0.119000,0.000000,0.029957,0.000000,-0.986053,0.166434,0.000000,0.000000,0.000000,-1.167390,0.000000,50.000000,0.000000,0.000000
0.120000,0.000000,0.028779,0.000000,-0.989904,0.141738,0.000000,0.000000,0.000000,-1.177200,0.000000,50.000000,0.000000,0.000000
0.121000,0.000000,0.027592,0.000000,-0.993137,0.116954,0.000000,0.000000,0.000000,-1.187010,0.000000,50.000000,0.000000,0.000000
0.122000,0.000000,0.026396,0.000000,-0.995750,0.092097,0.000000,0.000000,0.000000,-1.196820,0.000000,50.000000,0.000000,0.000000
0.123000,0.000000,0.025189,0.000000,-0.997741,0.067182,0.000000,0.000000,0.000000,-1.206630,0.000000,50.000000,0.000000,0.000000
0.124000,0.000000,0.023973,0.000000,-0.999108,0.042226,0.000000,0.000000,0.000000,-1.216440,0.000000,50.000000,0.000000,0.000000
0.125000,0.000000,0.022746,0.000000,-0.999851,0.017243,0.000000,0.000000,0.000000,-1.226250,0.000000,50.000000,0.000000,0.000000
0.126000,0.000000,0.021510,0.000000,-0.999970,-0.007751,0.000000,0.000000,0.000000,-1.236060,0.000000,50.000000,0.000000,0.000000
