t,θ1,ω1,θ2,ω2
2.1200,0.138334,2.940600,0.123680,0.416300
2.1300,0.167646,2.920632,0.127885,0.426291
2.1400,0.196722,2.893365,0.132235,0.445202
2.1500,0.225490,2.859096,0.136817,0.472546
2.1600,0.253882,2.818193,0.141712,0.507706
2.1700,0.281833,2.771085,0.146995,0.549970
2.1800,0.309284,2.718233,0.152733,0.598558
2.1900,0.336180,2.660120,0.158985,0.652654
2.2000,0.362471,2.597229,0.165801,0.711437
2.2100,0.388111,2.530032,0.173226,0.774103
2.2200,0.413059,2.458980,0.181294,0.839881
2.2300,0.437279,2.384493,0.190032,0.908054
2.2400,0.460738,2.306958,0.199461,0.977961
2.2500,0.483409,2.226727,0.209595,1.049005
2.2600,0.505265,2.144119,0.220443,1.120657
2.2700,0.526284,2.059418,0.232008,1.192449
2.2800,0.546447,1.972879,0.244291,1.263977
2.2900,0.565736,1.884733,0.257286,1.334892
2.3000,0.584137,1.795185,0.270986,1.404900
2.3100,0.601636,1.704424,0.285380,1.473750
2.3200,0.618222,1.612622,0.300456,1.541235
2.3300,0.633886,1.519940,0.316200,1.607179
2.3400,0.648619,1.426533,0.332594,1.671438
2.3500,0.662414,1.332549,0.349622,1.733890
2.3600,0.675268,1.238137,0.367266,1.794428
2.3700,0.687176,1.143444,0.385504,1.852960
2.3800,0.698137,1.048625,0.404318,1.909396
2.3900,0.708149,0.953838,0.423685,1.963649
2.4000,0.717214,0.859251,0.443583,2.015627
2.4100,0.725335,0.765043,0.463990,2.065228
2.4200,0.732517,0.671408,0.484879,2.112334
2.4300,0.738766,0.578552,0.506227,2.156811
2.4400,0.744091,0.486698,0.528006,2.198501
2.4500,0.748504,0.396083,0.550188,2.237220
2.4600,0.752018,0.306964,0.572740,2.272759
2.4700,0.754649,0.219607,0.595631,2.304883
2.4800,0.756417,0.134294,0.618826,2.333332
2.4900,0.757343,0.051311,0.642285,2.357825
2.5000,0.757452,-0.029051,0.665968,2.378069
2.5100,0.756771,-0.106510,0.689831,2.393765
2.5200,0.755332,-0.180796,0.713827,2.404617
2.5300,0.753167,-0.251663,0.737906,2.410351
2.5400,0.750311,-0.318898,0.762016,2.410720
2.5500,0.746802,-0.382333,0.786102,2.405525
2.5600,0.742677,-0.441847,0.810108,2.394619
2.5700,0.737978,-0.497378,0.833975,2.377922
2.5800,0.732743,-0.548927,0.857647,2.355424
2.5900,0.727012,-0.596551,0.881065,2.327188
2.6000,0.720825,-0.640369,0.904172,2.293347
2.6100,0.714217,-0.680551,0.926913,2.254101
2.6200,0.707225,-0.717312,0.949237,2.209703
2.6300,0.699882,-0.750902,0.971091,2.160450
2.6400,0.692217,-0.781593,0.992431,2.106672
2.6500,0.684258,-0.809673,1.013211,2.048715
2.6600,0.676031,-0.835433,1.033392,1.986933
2.6700,0.667557,-0.859159,1.052938,1.921674
2.6800,0.658854,-0.881123,1.071815,1.853274
2.6900,0.649939,-0.901582,1.089994,1.782048
2.7000,0.640826,-0.920768,1.107448,1.708287
2.7100,0.631527,-0.938890,1.124152,1.632252
2.7200,0.622051,-0.956132,1.140086,1.554178
2.7300,0.612407,-0.972648,1.155230,1.474268
2.7400,0.602601,-0.988571,1.169566,1.392700
2.7500,0.592637,-1.004004,1.183079,1.309622
2.7600,0.582522,-1.019030,1.195754,1.225160
2.7700,0.572258,-1.033709,1.207577,1.139417
2.7800,0.561849,-1.048079,1.218538,1.052476
2.7900,0.551297,-1.062162,1.228623,0.964403
2.8000,0.540606,-1.075960,1.237822,0.875251
2.8100,0.529779,-1.089462,1.246125,0.785058
2.8200,0.518818,-1.102641,1.253520,0.693854
2.8300,0.507727,-1.115460,1.259999,0.601658
2.8400,0.496510,-1.127866,1.265550,0.508485
2.8500,0.485172,-1.139800,1.270165,0.414343
2.8600,0.473716,-1.151191,1.273834,0.319238
2.8700,0.462150,-1.161960,1.276547,0.223172
2.8800,0.450479,-1.172019,1.278294,0.126146
2.8900,0.438712,-1.181274,1.279066,0.028161
2.9000,0.426857,-1.189623,1.278854,-0.070783
2.9100,0.414923,-1.196960,1.277647,-0.170685
2.9200,0.402921,-1.203171,1.275437,-0.271542
2.9300,0.390864,-1.208139,1.272213,-0.373351
2.9400,0.378763,-1.211741,1.267967,-0.476106
2.9500,0.366634,-1.213849,1.262688,-0.579801
2.9600,0.354492,-1.214335,1.256368,-0.684426
2.9700,0.342353,-1.213064,1.248997,-0.789974
2.9800,0.330237,-1.209900,1.240565,-0.896431
2.9900,0.318162,-1.204705,1.231065,-1.003788
3.0000,0.306150,-1.197340,1.220487,-1.112033
3.0100,0.294223,-1.187663,1.208821,-1.221155
3.0200,0.282405,-1.175533,1.196061,-1.331144
3.0300,0.270721,-1.160810,1.182196,-1.441994
3.0400,0.259198,-1.143353,1.167218,-1.553700
3.0500,0.247863,-1.123025,1.151119,-1.666263
3.0600,0.236747,-1.099689,1.133890,-1.779689
3.0700,0.225880,-1.073214,1.115522,-1.893989
3.0800,0.215294,-1.043470,1.096007,-2.009181
3.0900,0.205022,-1.010336,1.075335,-2.125294
3.1000,0.195099,-0.973696,1.053498,-2.242361
3.1100,0.185560,-0.933442,1.030485,-2.360428
3.1200,0.176442,-0.889478,1.006286,-2.479547
3.1300,0.167783,-0.841720,0.980890,-2.599778
3.1400,0.159621,-0.790100,0.954286,-2.721187
3.1500,0.151994,-0.734572,0.926462,-2.843842
3.1600,0.144942,-0.675113,0.897405,-2.967808
3.1700,0.138505,-0.611735,0.867102,-3.093138
3.1800,0.132721,-0.544495,0.835538,-3.219866
3.1900,0.127627,-0.473503,0.802700,-3.347986
3.2000,0.123262,-0.398941,0.768574,-3.477436
3.2100,0.119660,-0.321087,0.733147,-3.608069
3.2200,0.116850,-0.240337,0.696409,-3.739618
3.2300,0.114861,-0.157243,0.658353,-3.871648
3.2400,0.113711,-0.072549,0.618977,-4.003506
3.2500,0.113412,0.012763,0.578286,-4.134257
3.2600,0.113964,0.097425,0.536299,-4.262616
3.2700,0.115353,0.179848,0.493048,-4.386886
3.2800,0.117547,0.258093,0.448582,-4.504923
3.2900,0.120493,0.329885,0.402979,-4.614130
3.3000,0.124115,0.392682,0.356339,-4.711533
3.3100,0.128308,0.443804,0.308798,-4.793940
3.3200,0.132943,0.480648,0.260521,-4.858213
3.3300,0.137866,0.500960,0.211703,-4.901604
3.3400,0.142902,0.503118,0.162565,-4.922125
3.3500,0.147865,0.486364,0.113340,-4.918846
3.3600,0.152567,0.450917,0.064267,-4.892037
3.3700,0.156825,0.397935,0.015574,-4.843123
3.3800,0.160473,0.329337,-0.032530,-4.774444
3.3900,0.163367,0.247542,-0.079859,-4.688911
3.4000,0.165389,0.155178,-0.126262,-4.589645
3.4100,0.166444,0.054848,-0.171616,-4.479668
3.4200,0.166467,-0.051052,-0.215829,-4.361688
3.4300,0.165412,-0.160424,-0.258831,-4.237987
3.4400,0.163253,-0.271510,-0.300576,-4.110394
3.4500,0.159981,-0.382880,-0.341031,-3.980305
3.4600,0.155598,-0.493401,-0.380177,-3.848737
3.4700,0.150119,-0.602195,-0.418003,-3.716402
3.4800,0.143562,-0.708592,-0.454504,-3.583762
3.4900,0.135956,-0.812091,-0.489678,-3.451099
3.5000,0.127331,-0.912326,-0.523526,-3.318558
3.5100,0.117722,-1.009034,-0.556050,-3.186192
3.5200,0.107163,-1.102034,-0.587251,-3.053991
3.5300,0.095694,-1.191210,-0.617130,-2.921907
3.5400,0.083352,-1.276495,-0.645689,-2.789873
3.5500,0.070177,-1.357864,-0.672927,-2.657815
3.5600,0.056208,-1.435323,-0.698845,-2.525663
3.5700,0.041483,-1.508906,-0.723440,-2.393354
