0.900: pos=(0.808,-3.620,0.000)  ori=(0.900,0.000,0.435,0.000)
0.920: pos=(0.824,-3.779,0.000)  ori=(0.896,0.000,0.444,0.000)
0.940: pos=(0.840,-3.940,0.000)  ori=(0.892,0.000,0.453,0.000)
0.960: pos=(0.855,-4.105,0.000)  ori=(0.887,0.000,0.462,0.000)
0.980: pos=(0.871,-4.273,0.000)  ori=(0.882,0.000,0.471,0.000)
1.000: pos=(0.887,-4.444,0.000)  ori=(0.878,0.000,0.479,0.000)
1.020: pos=(0.902,-4.618,0.000)  ori=(0.873,0.000,0.488,0.000)
1.040: pos=(0.918,-4.795,0.000)  ori=(0.868,0.000,0.497,0.000)
1.060: pos=(0.933,-4.975,0.000)  ori=(0.863,0.000,0.506,0.000)
1.080: pos=(0.949,-5.158,0.000)  ori=(0.858,0.000,0.514,0.000)
1.100: pos=(0.964,-5.344,0.000)  ori=(0.853,0.000,0.523,0.000)
1.120: pos=(0.979,-5.533,0.000)  ori=(0.847,0.000,0.531,0.000)
1.140: pos=(0.994,-5.725,0.000)  ori=(0.842,0.000,0.540,0.000)
1.160: pos=(1.009,-5.920,0.000)  ori=(0.836,0.000,0.548,0.000)
1.180: pos=(1.024,-6.118,0.000)  ori=(0.831,0.000,0.556,0.000)
1.200: pos=(1.039,-6.319,0.000)  ori=(0.825,0.000,0.565,0.000)
1.220: pos=(1.054,-6.523,0.000)  ori=(0.820,0.000,0.573,0.000)
1.240: pos=(1.068,-6.730,0.000)  ori=(0.814,0.000,0.581,0.000)
1.260: pos=(1.083,-6.940,0.000)  ori=(0.808,0.000,0.589,0.000)
1.280: pos=(1.098,-7.152,0.000)  ori=(0.802,0.000,0.597,0.000)
1.300: pos=(1.112,-7.367,0.000)  ori=(0.796,0.000,0.605,0.000)
1.320: pos=(1.127,-7.586,0.000)  ori=(0.790,0.000,0.613,0.000)
1.340: pos=(1.141,-7.807,0.000)  ori=(0.784,0.000,0.621,0.000)
1.360: pos=(1.155,-8.031,0.000)  ori=(0.778,0.000,0.629,0.000)
1.380: pos=(1.170,-8.257,0.000)  ori=(0.771,0.000,0.637,0.000)
1.400: pos=(1.184,-8.487,0.000)  ori=(0.765,0.000,0.644,0.000)
1.420: pos=(1.198,-8.719,0.000)  ori=(0.758,0.000,0.652,0.000)
1.440: pos=(1.212,-8.954,0.000)  ori=(0.752,0.000,0.659,0.000)
1.460: pos=(1.226,-9.192,0.000)  ori=(0.745,0.000,0.667,0.000)
1.480: pos=(1.240,-9.432,0.000)  ori=(0.738,0.000,0.674,0.000)
